date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:23:29	263204/263204	---MCZ	200	added ('OK')	font/woff	date:Thu,%2030%20Jul%202020%2008:01:40%20GMT	https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/boxicons/fonts/boxicons.woff	C:/Users/damola/Downloads/Compressed/sales/bootstrapmade.com/demo/templates/Arsha/assets/vendor/boxicons/fonts/boxicons.woff	(from https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/boxicons/css/boxicons.min.css)
16:23:30	263128/263128	---MCZ	200	added ('OK')	font/ttf	date:Thu,%2030%20Jul%202020%2008:01:40%20GMT	https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/boxicons/fonts/boxicons.ttf	C:/Users/damola/Downloads/Compressed/sales/bootstrapmade.com/demo/templates/Arsha/assets/vendor/boxicons/fonts/boxicons.ttf	(from https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/boxicons/css/boxicons.min.css)
16:23:30	933813/933813	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2030%20Jul%202020%2008:01:40%20GMT	https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/boxicons/fonts/boxicons.svg?	C:/Users/damola/Downloads/Compressed/sales/bootstrapmade.com/demo/templates/Arsha/assets/vendor/boxicons/fonts/boxiconsd41d.svg	(from https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/boxicons/css/boxicons.min.css)
16:23:31	403228/403228	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2030%20Jul%202020%2008:01:41%20GMT	https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/remixicon/remixicon.eot?t=1590207869815	C:/Users/damola/Downloads/Compressed/sales/bootstrapmade.com/demo/templates/Arsha/assets/vendor/remixicon/remixicondf6d.eot	(from https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/remixicon/remixicon.css)
16:23:31	125268/125268	---MCZ	200	added ('OK')	font/woff2	date:Thu,%2030%20Jul%202020%2008:01:41%20GMT	https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/remixicon/remixicon.woff2?t=1590207869815	C:/Users/damola/Downloads/Compressed/sales/bootstrapmade.com/demo/templates/Arsha/assets/vendor/remixicon/remixicondf6d.woff2	(from https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/remixicon/remixicon.css)
16:23:31	172876/172876	---MCZ	200	added ('OK')	font/woff	date:Thu,%2030%20Jul%202020%2008:01:41%20GMT	https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/remixicon/remixicon.woff?t=1590207869815	C:/Users/damola/Downloads/Compressed/sales/bootstrapmade.com/demo/templates/Arsha/assets/vendor/remixicon/remixicondf6d.woff	(from https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/remixicon/remixicon.css)
16:23:32	403056/403056	---MCZ	200	added ('OK')	font/ttf	date:Thu,%2030%20Jul%202020%2008:01:41%20GMT	https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/remixicon/remixicon.ttf?t=1590207869815	C:/Users/damola/Downloads/Compressed/sales/bootstrapmade.com/demo/templates/Arsha/assets/vendor/remixicon/remixicondf6d.ttf	(from https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/remixicon/remixicon.css)
16:23:32	1195522/1195522	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2030%20Jul%202020%2008:01:41%20GMT	https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/remixicon/remixicon.svg?t=1590207869815	C:/Users/damola/Downloads/Compressed/sales/bootstrapmade.com/demo/templates/Arsha/assets/vendor/remixicon/remixicondf6d.svg	(from https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/remixicon/remixicon.css)
16:23:32	4976/4976	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Jul%202020%2008:01:40%20GMT	https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/owl.carousel/assets/owl.video.play.png	C:/Users/damola/Downloads/Compressed/sales/bootstrapmade.com/demo/templates/Arsha/assets/vendor/owl.carousel/assets/owl.video.play.png	(from https://bootstrapmade.com/demo/templates/Arsha/assets/vendor/owl.carousel/assets/owl.carousel.min.css)
16:23:33	212914/212914	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Jul%202020%2008:01:40%20GMT	https://bootstrapmade.com/demo/templates/Arsha/assets/img/cta-bg.jpg	C:/Users/damola/Downloads/Compressed/sales/bootstrapmade.com/demo/templates/Arsha/assets/img/cta-bg.jpg	(from https://bootstrapmade.com/demo/templates/Arsha/assets/css/style.css)
16:23:33	111940/111940	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Jul%202020%2008:01:40%20GMT	https://bootstrapmade.com/demo/templates/Arsha/assets/img/portfolio/portfolio-details-1.jpg	C:/Users/damola/Downloads/Compressed/sales/bootstrapmade.com/demo/templates/Arsha/assets/img/portfolio/portfolio-details-1.jpg	(from https://bootstrapmade.com/demo/templates/Arsha/portfolio-details.html)
16:23:33	163844/163844	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Jul%202020%2008:01:40%20GMT	https://bootstrapmade.com/demo/templates/Arsha/assets/img/portfolio/portfolio-details-2.jpg	C:/Users/damola/Downloads/Compressed/sales/bootstrapmade.com/demo/templates/Arsha/assets/img/portfolio/portfolio-details-2.jpg	(from https://bootstrapmade.com/demo/templates/Arsha/portfolio-details.html)
16:23:34	102541/102541	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Jul%202020%2008:01:40%20GMT	https://bootstrapmade.com/demo/templates/Arsha/assets/img/portfolio/portfolio-details-3.jpg	C:/Users/damola/Downloads/Compressed/sales/bootstrapmade.com/demo/templates/Arsha/assets/img/portfolio/portfolio-details-3.jpg	(from https://bootstrapmade.com/demo/templates/Arsha/portfolio-details.html)
